NUM_ID,First_author,Study_Year,Person_extracting,Date_extracted,Paper_double_checked,Short reference,Host.species,Host_family,Host_order,Host_strain,Host_type,Host_age,Habitat,Water,Parasite_or_pest,Antagonist_species,Antagonist_isolate,Antagonist_type_specific,Antagonist_type_general,Detection_method,Transmission_mode,Vector_type,Vector_species,Latitude,Longitude,Coordinates_provided_in_study,Location,Natural_or_ag,Sample_type,Same_plants_tested_multiple,Time_point,Months,Year,Start Date (yyyymm),Span (months),Number_sampled_locations,Coarse_spatial_scale,Approx_spatial_accuracy_width_km,Response metric,n,Infected,Incidence,Obs
715,Abbate,2014,Vianda,2021-06-30,Devin,Abbate_2014,Silene vulgaris,Caryophyllaceae,Caryophyllales,NA,Wildflower,NA,Terrestrial,None,Parasite,Microbotryum spp.,NA,Fungus,Eukaryotic parasite,Visual,vectorborne and sexually-transmitted,pollinators,NA,45.367,6.029,Yes,"Areas surrounding the Jardin Alpin du Lautaret, France",Natural,Plant,No,0,August,2008,200808,1,1,Plot,1,Incidence,28,0,0,1
715,Abbate,2014,Vianda,2021-06-30,Devin,Abbate_2014,Silene vulgaris,Caryophyllaceae,Caryophyllales,NA,Wildflower,NA,Terrestrial,None,Parasite,Microbotryum spp.,NA,Fungus,Eukaryotic parasite,Visual,vectorborne and sexually-transmitted,pollinators,NA,45.393,6.117,Yes,"Areas surrounding the Jardin Alpin du Lautaret, France",Natural,Plant,No,0,August,2008,200808,1,1,Plot,1,Incidence,10,0,0,2
715,Abbate,2014,Vianda,2021-06-30,Devin,Abbate_2014,Silene vulgaris,Caryophyllaceae,Caryophyllales,NA,Wildflower,NA,Terrestrial,None,Parasite,Microbotryum spp.,NA,Fungus,Eukaryotic parasite,Visual,vectorborne and sexually-transmitted,pollinators,NA,45.392,6.122,Yes,"Areas surrounding the Jardin Alpin du Lautaret, France",Natural,Plant,No,0,August,2008,200808,1,1,Plot,1,Incidence,15,0,0,3
715,Abbate,2014,Vianda,2021-06-30,Devin,Abbate_2014,Silene vulgaris,Caryophyllaceae,Caryophyllales,NA,Wildflower,NA,Terrestrial,None,Parasite,Microbotryum spp.,NA,Fungus,Eukaryotic parasite,Visual,vectorborne and sexually-transmitted,pollinators,NA,45.381,6.148,Yes,"Areas surrounding the Jardin Alpin du Lautaret, France",Natural,Plant,No,0,August,2008,200808,1,1,Plot,1,Incidence,72,2,0.027777778,4
715,Abbate,2014,Vianda,2021-06-30,Devin,Abbate_2014,Silene vulgaris,Caryophyllaceae,Caryophyllales,NA,Wildflower,NA,Terrestrial,None,Parasite,Microbotryum spp.,NA,Fungus,Eukaryotic parasite,Visual,vectorborne and sexually-transmitted,pollinators,NA,45.403,6.083,Yes,"Areas surrounding the Jardin Alpin du Lautaret, France",Natural,Plant,No,0,August,2008,200808,1,1,Plot,1,Incidence,30,0,0,5
715,Abbate,2014,Vianda,2021-06-30,Devin,Abbate_2014,Silene vulgaris,Caryophyllaceae,Caryophyllales,NA,Wildflower,NA,Terrestrial,None,Parasite,Microbotryum spp.,NA,Fungus,Eukaryotic parasite,Visual,vectorborne and sexually-transmitted,pollinators,NA,45.367,6.02,Yes,"Areas surrounding the Jardin Alpin du Lautaret, France",Natural,Plant,No,0,August,2008,200808,1,1,Plot,1,Incidence,68,0,0,6
715,Abbate,2014,Vianda,2021-06-30,Devin,Abbate_2014,Silene vulgaris,Caryophyllaceae,Caryophyllales,NA,Wildflower,NA,Terrestrial,None,Parasite,Microbotryum spp.,NA,Fungus,Eukaryotic parasite,Visual,vectorborne and sexually-transmitted,pollinators,NA,45.36,6.002,Yes,"Areas surrounding the Jardin Alpin du Lautaret, France",Natural,Plant,No,0,August,2008,200808,1,1,Plot,1,Incidence,250,0,0,7
715,Abbate,2014,Vianda,2021-06-30,Devin,Abbate_2014,Silene vulgaris,Caryophyllaceae,Caryophyllales,NA,Wildflower,NA,Terrestrial,None,Parasite,Microbotryum spp.,NA,Fungus,Eukaryotic parasite,Visual,vectorborne and sexually-transmitted,pollinators,NA,44.995,6.079,Yes,"Areas surrounding the Jardin Alpin du Lautaret, France",Natural,Plant,No,0,August,2011,201108,1,1,Plot,1,Incidence,103,0,0,8
715,Abbate,2014,Vianda,2021-06-30,Devin,Abbate_2014,Silene vulgaris,Caryophyllaceae,Caryophyllales,NA,Wildflower,NA,Terrestrial,None,Parasite,Microbotryum spp.,NA,Fungus,Eukaryotic parasite,Visual,vectorborne and sexually-transmitted,pollinators,NA,44.988,6.109,Yes,"Areas surrounding the Jardin Alpin du Lautaret, France",Natural,Plant,No,0,July,2010,201007,1,1,Plot,1,Incidence,72,0,0,9
715,Abbate,2014,Vianda,2021-06-30,Devin,Abbate_2014,Silene vulgaris,Caryophyllaceae,Caryophyllales,NA,Wildflower,NA,Terrestrial,None,Parasite,Microbotryum spp.,NA,Fungus,Eukaryotic parasite,Visual,vectorborne and sexually-transmitted,pollinators,NA,44.988,6.11,Yes,"Areas surrounding the Jardin Alpin du Lautaret, France",Natural,Plant,No,0,July,2010,201007,1,1,Plot,1,Incidence,20,0,0,10
